city,CDP_response_year,most_sig_hazard,probability,magnitude,expected_intensity_change,expected_frequency_change,timeframe_expected_change,social_impact,assets_services_affected,vulnerable_populations
San Antonio,2020,Extreme heat,High,High,Increasing,Increasing,Medium-term (2026-2050),Increased demand for public services; Increased risk to already vulnerable populations; Increased demand for healthcare services,Energy; Public health; Food & agriculture; Water supply & sanitation; Commercial; Residential; Tourism,Persons with chronic diseases; Persons with disabilities; Persons living in sub-standard housing; Children & youth; Elderly; Low-income households
San Diego,2020,Extreme Precipitation,Do not know,Low,Increasing,Increasing,Medium-term (2026-2050),Increased demand for healthcare services,Water supply & sanitation,Persons with disabilities; Elderly; Children & youth; Persons with chronic diseases; Low-income households; Marginalized groups
San Diego,2020,Extreme heat,High,High,Increasing,Increasing,Immediately,Increased incidence and prevalence of disease and illness,Energy,Marginalized groups; Persons with chronic diseases; Elderly; Persons with disabilities; Children & youth; Low-income households
San Diego,2020,Wild fire,High,High,Increasing,Increasing,Immediately,Increased resource demand; Population displacement; Increased demand for healthcare services; Increased demand for public services,Emergency services,Low-income households; Persons living in sub-standard housing
San Diego,2020,Flood and sea level rise,Medium High,Medium High,Increasing,Increasing,Long-term (after 2050),Increased demand for public services,Tourism,Low-income households
Austin,2020,Water Scarcity,High,High,Increasing,Increasing,Immediately,Increased demand for healthcare services; Increased demand for public services; Increased risk to already vulnerable populations,"Emergency services; Transport; Environment, biodiversity, forestry; Energy; Public health; Water supply & sanitation",Low-income households; Marginalized groups; Persons living in sub-standard housing
Austin,2020,Flood and sea level rise,High,High,Increasing,Increasing,Immediately,Increased demand for public services; Population displacement; Increased risk to already vulnerable populations,Information & communications technology; Commercial; Public health; Water supply & sanitation; Emergency services; Residential,Persons with disabilities; Unemployed persons; Low-income households; Marginalized groups; Persons living in sub-standard housing
Austin,2020,Extreme heat,High,Medium,Increasing,Increasing,Immediately,Increased demand for healthcare services; Fluctuating socio-economic conditions; Increased risk to already vulnerable populations,Water supply & sanitation; Energy; Public health,Elderly; Unemployed persons; Persons with chronic diseases; Persons living in sub-standard housing; Marginalized groups; Persons with disabilities; Low-income households
Austin,2020,Wild fire,High,High,Increasing,Increasing,Immediately,Increased demand for public services; Population displacement; Increased demand for healthcare services,"Public health; Emergency services; Residential; Environment, biodiversity, forestry",Children & youth; Persons with chronic diseases; Marginalized groups; Low-income households; Persons with disabilities; Elderly; Persons living in sub-standard housing
Dallas,2020,Water Scarcity,Medium High,Medium High,Increasing,Increasing,Immediately,Increased demand for public services; Increased risk to already vulnerable populations,"Public health; Water supply & sanitation; Environment, biodiversity, forestry; Other, please specify: Drainage and Infrastructure",Persons living in sub-standard housing; Low-income households; Marginalized groups
Dallas,2020,Extreme heat,Medium High,Medium,Increasing,Increasing,Short-term (by 2025),"Increased incidence and prevalence of disease and illness; Increased resource demand; Other, please specify: Increased Mortality; Increased demand for healthcare services",Energy; Residential; Public health; Transport; Water supply & sanitation,Low-income households; Persons living in sub-standard housing; Persons with chronic diseases; Marginalized groups
Dallas,2020,Biological hazards,Medium,Low,Increasing,Increasing,Short-term (by 2025),Increased risk to already vulnerable populations; Increased incidence and prevalence of disease and illness; Increased demand for public services,Emergency services; Residential; Public health,Elderly; Persons living in sub-standard housing; Children & youth; Low-income households
Dallas,2020,Flood and sea level rise,Medium High,Medium High,Increasing,Increasing,Immediately,"Increased risk to already vulnerable populations; Increased demand for public services; Increased resource demand; Other, please specify: Loss of Life; Population displacement","Residential; Commercial; Other, please specify: Increased Mortality, Disruptions to Transportation and other infrastructure; Emergency services; Water supply & sanitation; Environment, biodiversity, forestry","Persons living in sub-standard housing; Other, please specify: Communities in low lying  areas.; Marginalized groups"
Dallas,2020,Flood and sea level rise,Medium,Medium,Increasing,Increasing,Short-term (by 2025),"Increased risk to already vulnerable populations; Other, please specify: Transportation; Increased demand for healthcare services; Increased incidence and prevalence of disease and illness; Increased demand for public services","Emergency services; Transport; Environment, biodiversity, forestry; Water supply & sanitation; Residential","Marginalized groups; Persons living in sub-standard housing; Other, please specify: Communities in low lying areas."
San José,2020,Extreme heat,High,Medium,Increasing,Increasing,Immediately,Increased risk to already vulnerable populations; Increased conflict and/or crime; Increased resource demand; Increased demand for healthcare services; Increased demand for public services; Increased incidence and prevalence of disease and illness,"Public health; Environment, biodiversity, forestry; Energy; Residential","Marginalized groups; Low-income households; Children & youth; Persons living in sub-standard housing; Other, please specify: Those who work outside/are active outdoors, homeless populations; Elderly; Persons with chronic diseases"
San José,2020,Extreme heat,Medium High,Medium High,Increasing,Increasing,Immediately,Increased resource demand; Increased risk to already vulnerable populations; Increased conflict and/or crime; Increased demand for public services; Increased demand for healthcare services; Increased incidence and prevalence of disease and illness,"Energy; Public health; Residential; Environment, biodiversity, forestry","Persons living in sub-standard housing; Low-income households; Elderly; Marginalized groups; Other, please specify: Those who work outside/are active outdoors, homeless populations; Persons with chronic diseases; Children & youth"
San José,2020,Water Scarcity,High,High,Increasing,Increasing,Short-term (by 2025),Increased resource demand; Migration from rural areas to cities,"Residential; Environment, biodiversity, forestry; Water supply & sanitation",Marginalized groups; Elderly; Low-income households; Children & youth
San José,2020,Flood and sea level rise,Medium High,Medium High,Increasing,Increasing,Short-term (by 2025),Increased risk to already vulnerable populations; Population displacement,Commercial; Residential; Transport,Marginalized groups; Elderly; Persons with disabilities; Low-income households; Persons living in sub-standard housing
San José,2020,Flood and sea level rise,Medium,High,Increasing,Increasing,Short-term (by 2025),Increased risk to already vulnerable populations; Population displacement,Residential; Waste management; Water supply & sanitation,Persons living in sub-standard housing; Low-income households
San José,2020,Wild fire,Medium High,Medium High,Increasing,Increasing,Immediately,Increased demand for healthcare services; Increased risk to already vulnerable populations; Increased demand for public services; Increased incidence and prevalence of disease and illness; Population displacement,"Environment, biodiversity, forestry; Energy; Public health; Residential","Persons with chronic diseases; Elderly; Other, please specify: People who work or are active outdoors; homeless populations"
Indianapolis,2020,Extreme Precipitation,High,Medium,Increasing,Increasing,Medium-term (2026-2050),Increased incidence and prevalence of disease and illness; Fluctuating socio-economic conditions; Increased risk to already vulnerable populations,Residential; Waste management; Transport; Water supply & sanitation; Public health; Food & agriculture,Elderly; Persons with disabilities; Low-income households; Persons living in sub-standard housing; Marginalized groups
Indianapolis,2020,Extreme hot temperature,Medium,Medium,Increasing,Increasing,Medium-term (2026-2050),Increased conflict and/or crime; Increased resource demand; Increased risk to already vulnerable populations; Increased incidence and prevalence of disease and illness,Energy; Food & agriculture; Residential; Public health,Elderly; Low-income households; Marginalized groups; Persons with disabilities; Persons living in sub-standard housing
Indianapolis,2020,Extreme heat,High,Medium Low,Increasing,Increasing,Medium-term (2026-2050),Increased risk to already vulnerable populations; Increased resource demand; Increased incidence and prevalence of disease and illness,Energy; Food & agriculture; Public health; Water supply & sanitation,Children & youth; Elderly; Persons with chronic diseases
Indianapolis,2020,Extreme Precipitation,High,Medium High,Increasing,Increasing,Medium-term (2026-2050),Loss of traditional jobs; Migration from rural areas to cities,Food & agriculture; Transport; Water supply & sanitation,"Other, please specify; Low-income households; Persons living in sub-standard housing"
Indianapolis,2020,Storm and wind,Low,Do not know,Do not know,Do not know,Long-term (after 2050),Increased demand for healthcare services; Increased demand for public services; Increased risk to already vulnerable populations,Information & communications technology; Residential; Public health; Emergency services,"Other, please specify; Persons living in sub-standard housing; Persons with disabilities"
Indianapolis,2020,Water Scarcity,Medium Low,Medium Low,Increasing,Increasing,Long-term (after 2050),Increased demand for public services; Loss of traditional jobs; Migration from rural areas to cities; Increased risk to already vulnerable populations; Increased demand for healthcare services; Increased resource demand,Public health; Commercial; Food & agriculture; Water supply & sanitation,"Low-income households; Other, please specify; Persons living in sub-standard housing; Persons with chronic diseases"
Columbus,2020,Flood and sea level rise,High,High,Increasing,Increasing,Medium-term (2026-2050),Increased incidence and prevalence of disease and illness; Increased demand for healthcare services; Increased demand for public services,Water supply & sanitation; Transport; Energy,Unemployed persons; Persons living in sub-standard housing; Low-income households; Elderly; Children & youth; Persons with disabilities
Columbus,2020,Flood and sea level rise,High,High,Increasing,Increasing,Medium-term (2026-2050),Increased demand for healthcare services; Increased incidence and prevalence of disease and illness,Transport; Energy; Water supply & sanitation,Low-income households; Marginalized groups; Persons with chronic diseases; Elderly; Persons living in sub-standard housing
Columbus,2020,Extreme Precipitation,High,High,Increasing,Increasing,Short-term (by 2025),Increased demand for public services; Fluctuating socio-economic conditions,Transport; Water supply & sanitation; Energy,"Persons living in sub-standard housing; Persons with chronic diseases; Other, please specify: Those employed by the agricultural sector; Low-income households"
Columbus,2020,Extreme heat,Medium High,Medium High,Increasing,Increasing,Short-term (by 2025),Increased demand for public services; Increased incidence and prevalence of disease and illness; Increased demand for healthcare services; Increased risk to already vulnerable populations,Public health; Water supply & sanitation; Emergency services,Children & youth; Persons living in sub-standard housing; Low-income households; Elderly
Columbus,2020,Extreme heat,Medium,High,Increasing,Increasing,Medium-term (2026-2050),Fluctuating socio-economic conditions; Increased demand for healthcare services; Increased resource demand; Increased incidence and prevalence of disease and illness; Increased risk to already vulnerable populations,Water supply & sanitation; Food & agriculture; Public health,Children & youth; Low-income households; Persons living in sub-standard housing; Elderly
Columbus,2020,Biological hazards,Medium,High,Increasing,Increasing,Medium-term (2026-2050),Increased demand for public services; Increased incidence and prevalence of disease and illness,Residential; Public health; Water supply & sanitation,Persons with chronic diseases; Elderly; Children & youth
Charlotte,2020,Extreme heat,Medium High,High,Increasing,Increasing,Medium-term (2026-2050),Increased demand for healthcare services; Fluctuating socio-economic conditions; Increased incidence and prevalence of disease and illness; Increased resource demand; Increased demand for public services; Increased risk to already vulnerable populations,"Emergency services; Industrial; Transport; Law & order; Commercial; Water supply & sanitation; Waste management; Environment, biodiversity, forestry; Society / community & culture; Land use planning; Public health; Education; Residential; Tourism; Energy; Food & agriculture",Children & youth; Low-income households; Persons with disabilities; Unemployed persons; Elderly; Marginalized groups; Persons with chronic diseases; Persons living in sub-standard housing
Charlotte,2020,Flood and sea level rise,Medium,Medium High,Increasing,Increasing,Medium-term (2026-2050),Increased conflict and/or crime; Increased demand for public services; Population displacement; Increased risk to already vulnerable populations; Fluctuating socio-economic conditions; Increased demand for healthcare services; Increased incidence and prevalence of disease and illness; Increased resource demand,"Public health; Emergency services; Industrial; Water supply & sanitation; Residential; Tourism; Transport; Waste management; Commercial; Environment, biodiversity, forestry; Food & agriculture; Energy",Elderly; Children & youth; Persons with disabilities; Marginalized groups; Low-income households; Persons living in sub-standard housing; Persons with chronic diseases; Unemployed persons
Charlotte,2020,Chemical change,Medium High,High,Increasing,Increasing,Medium-term (2026-2050),Increased incidence and prevalence of disease and illness; Increased demand for healthcare services; Fluctuating socio-economic conditions; Increased resource demand; Increased risk to already vulnerable populations; Increased conflict and/or crime; Population displacement; Increased demand for public services,"Waste management; Society / community & culture; Energy; Industrial; Commercial; Education; Food & agriculture; Law & order; Public health; Emergency services; Environment, biodiversity, forestry; Land use planning; Water supply & sanitation; Residential; Tourism; Transport",Elderly; Persons with disabilities; Persons living in sub-standard housing; Unemployed persons; Persons with chronic diseases; Low-income households; Children & youth; Marginalized groups
Portland,2020,Extreme heat,High,Medium High,Increasing,Increasing,Immediately,Increased incidence and prevalence of disease and illness; Increased demand for healthcare services; Increased demand for public services; Increased risk to already vulnerable populations,Society / community & culture; Public health; Transport,"Other, please specify: People who work outdoors; Persons living in sub-standard housing; Persons with chronic diseases; Low-income households; Persons with disabilities; Unemployed persons; Marginalized groups; Children & youth; Elderly; Indigenous population"
Portland,2020,Mass movement,High,Medium,Increasing,Increasing,Short-term (by 2025),Population displacement,Residential; Emergency services; Transport,Marginalized groups; Low-income households
Portland,2020,Flood and sea level rise,High,Medium High,Increasing,Increasing,Immediately,Increased risk to already vulnerable populations; Fluctuating socio-economic conditions; Increased demand for healthcare services; Population displacement; Increased incidence and prevalence of disease and illness; Increased demand for public services,Emergency services; Transport; Residential,Indigenous population; Low-income households; Persons living in sub-standard housing; Persons with disabilities
Portland,2020,Wild fire,Medium High,High,Increasing,Increasing,Short-term (by 2025),Increased risk to already vulnerable populations; Fluctuating socio-economic conditions,Residential; Public health; Emergency services,Low-income households; Persons with disabilities; Elderly; Persons with chronic diseases; Marginalized groups
San Francisco,2020,Flood and sea level rise,Medium High,Medium,Increasing,Increasing,Medium-term (2026-2050),Increased incidence and prevalence of disease and illness; Increased demand for public services; Loss of tax base to support public services; Increased risk to already vulnerable populations,"Emergency services; Environment, biodiversity, forestry; Transport; Waste management; Water supply & sanitation; Commercial; Tourism; Public health; Industrial; Society / community & culture","Elderly; Marginalized groups; Persons living in sub-standard housing; Persons with disabilities; Low-income households; Other, please specify: Unhoused Populations; Persons with chronic diseases; Children & youth"
San Francisco,2020,Water Scarcity,Medium High,Medium,Increasing,Increasing,Short-term (by 2025),Increased resource demand; Increased demand for public services; Increased risk to already vulnerable populations; Increased demand for healthcare services,"Public health; Water supply & sanitation; Residential; Food & agriculture; Commercial; Environment, biodiversity, forestry; Society / community & culture","Elderly; Marginalized groups; Children & youth; Persons living in sub-standard housing; Persons with disabilities; Other, please specify: Unhoused Populations; Persons with chronic diseases; Low-income households; Unemployed persons"
San Francisco,2020,Extreme heat,High,Medium,Increasing,Increasing,Short-term (by 2025),Increased demand for public services; Increased risk to already vulnerable populations; Increased conflict and/or crime; Increased incidence and prevalence of disease and illness; Increased resource demand; Increased demand for healthcare services,"Energy; Education; Society / community & culture; Food & agriculture; Public health; Water supply & sanitation; Environment, biodiversity, forestry; Emergency services","Marginalized groups; Persons living in sub-standard housing; Low-income households; Other, please specify: Unhoused Populations; Unemployed persons; Persons with chronic diseases; Elderly; Persons with disabilities; Children & youth"
San Francisco,2020,Extreme Precipitation,Medium High,Medium,Increasing,Increasing,Medium-term (2026-2050),Increased risk to already vulnerable populations; Increased demand for healthcare services; Increased resource demand; Increased demand for public services; Increased incidence and prevalence of disease and illness,"Residential; Waste management; Water supply & sanitation; Public health; Environment, biodiversity, forestry; Transport","Other, please specify: Unhoused Populations; Unemployed persons; Persons living in sub-standard housing; Low-income households; Children & youth; Elderly; Persons with disabilities; Persons with chronic diseases; Marginalized groups"
San Francisco,2020,Chemical change,Medium High,Medium,Increasing,Increasing,Medium-term (2026-2050),Increased resource demand; Increased demand for public services; Increased risk to already vulnerable populations,"Residential; Waste management; Public health; Water supply & sanitation; Environment, biodiversity, forestry",Persons living in sub-standard housing; Low-income households; Marginalized groups
San Francisco,2020,Flood and sea level rise,Low,Low,Increasing,Increasing,Medium-term (2026-2050),Increased demand for public services; Loss of tax base to support public services; Population displacement; Increased risk to already vulnerable populations; Increased demand for healthcare services,"Transport; Environment, biodiversity, forestry; Land use planning; Residential; Commercial; Water supply & sanitation","Low-income households; Other, please specify: Unhoused Populations; Persons with chronic diseases; Persons living in sub-standard housing; Persons with disabilities; Marginalized groups; Elderly; Children & youth; Unemployed persons"
San Francisco,2020,Extreme heat,Medium High,High,Increasing,Increasing,Short-term (by 2025),Increased incidence and prevalence of disease and illness; Increased demand for public services; Increased risk to already vulnerable populations; Increased demand for healthcare services; Increased conflict and/or crime; Increased resource demand,"Energy; Water supply & sanitation; Food & agriculture; Environment, biodiversity, forestry",Children & youth; Elderly; Persons living in sub-standard housing; Marginalized groups; Persons with chronic diseases; Low-income households
San Francisco,2020,Wild fire,High,Medium,Increasing,Increasing,Short-term (by 2025),Increased demand for healthcare services; Increased incidence and prevalence of disease and illness; Increased risk to already vulnerable populations; Increased demand for public services,Public health,"Persons with chronic diseases; Persons with disabilities; Unemployed persons; Elderly; Low-income households; Other, please specify: Unhoused Populations; Marginalized groups; Persons living in sub-standard housing; Children & youth"
Seattle,2020,Extreme heat,High,Medium,Increasing,Increasing,N/A,Increased demand for healthcare services; Increased incidence and prevalence of disease and illness; Increased risk to already vulnerable populations,,"Other, please specify; Persons living in sub-standard housing; Marginalized groups; Children & youth; Elderly; Persons with chronic diseases; Indigenous population; Low-income households; Persons with disabilities"
Seattle,2020,Flood and sea level rise,High,High,Increasing,Increasing,N/A,Increased demand for public services; Population displacement; Loss of traditional jobs,"Environment, biodiversity, forestry; Transport; Water supply & sanitation",Persons living in sub-standard housing; Marginalized groups; Low-income households
Seattle,2020,Flood and sea level rise,High,Medium High,Increasing,Increasing,N/A,Increased risk to already vulnerable populations; Increased demand for public services; Population displacement,"Transport; Water supply & sanitation; Environment, biodiversity, forestry",Marginalized groups; Elderly; Low-income households; Persons living in sub-standard housing
Denver,2020,Extreme heat,High,Medium High,Increasing,Increasing,Immediately,Fluctuating socio-economic conditions; Increased conflict and/or crime; Increased demand for public services; Increased risk to already vulnerable populations; Increased incidence and prevalence of disease and illness; Increased resource demand; Increased demand for healthcare services,Water supply & sanitation; Transport; Public health; Energy,"Elderly; Children & youth; Other, please specify: People of Color; Persons with disabilities; Persons living in sub-standard housing; Low-income households; Marginalized groups; Persons with chronic diseases"
Denver,2020,Water Scarcity,Medium High,Medium High,Do not know,Increasing,Immediately,Increased demand for public services; Increased risk to already vulnerable populations; Increased incidence and prevalence of disease and illness; Increased resource demand; Increased demand for healthcare services,Food & agriculture; Water supply & sanitation,Low-income households; Marginalized groups; Elderly
Denver,2020,Extreme Precipitation,Medium High,High,Increasing,Increasing,Immediately,Loss of traditional jobs; Increased demand for public services; Loss of tax base to support public services,Water supply & sanitation; Commercial; Residential,Persons living in sub-standard housing; Low-income households
