city,CDP_response_year,factors_affect_adaptability,challenge_or_support,magnitude,description
Chicago,2021,Access to basic services,Supports,Moderately,"Chicago has access to a clean, large source of freshwater. Thus, Chicago is relatively protected from droughts and other extreme issues related to water scarcity. Further, Chicago, and Illinois generally, is an energy rich region, which adds to stability and security in the face of a changing climate. Nuclear power and renewable energy combined comprise close to 60% of net energy generation. Chicago is generally a food secure City, however, equitable food access continues to be a challenge. According to Feeding America’s Map the Meal Gap Study, one in seven people in Cook County will experience food insecurity this year.Sources:- https://www.eia.gov/state/print.php?sid=IL- https://www.chicagosfoodbank.org/hunger-in-our-community/- https://www.chicago.gov/content/dam/city/sites/food-equity/pdfs/City_Food_Equity_Agenda.pdf"
Chicago,2021,Housing,Challenges,Moderately,"Inadequate housing stock for BIPOC and low-income communities as a result of historic red-lining challenges the City's ability to adapt to climate impacts like heat, flooding, and major storms. The Chicago Departments of Planning and Development, Housing, and the Mayor's Office are currently in the process of assessing affordable housing climate resiliency standards nationwide in an effort to deliver policy recommendations to boost housing climate resiliency."
Chicago,2021,Access to education,Supports,Moderately,"Chicago is home to world class academic institutions who provide regular and substantive support to the City's various departments. Many of our adaptation studies and existing conditions analyses rely on expertise from supporting research organizations like the University of Illinois at Chicago, Northwestern University, the University of Chicago, and other institutions."
Chicago,2021,Public health,Supports,Somewhat,"Chicago's Department of Public Health has done an excellent job of public engagement with COVID-19 data. Further, their recent work addressing racial inequities and the impact on Black Chicagoans has paved the way for even more progress on communicating public health data to the public in digestible formats. There is reason to believe that these projects can and will be translated to our climate action work, especially related to resilience.Chicago's Office of Emergency Management and Communications (OEMC) also partners with various City departments to enhance climate resiliency. Specifically, OEMC has a running list of cooling and heating centers as well as an outreach strategy around major weather events that threaten heath and well-being. Sources:- https://www.chicago.gov/city/en/depts/oem/supp_info/alertrespond/extremetemps.html"
Chicago,2021,Government capacity,Challenges,Somewhat,"The Chicago Department of the Environment was dissolved under the previous administration. The staff have since been reallocated to different agencies, but this separation has created barriers to more effective climate mitigation and resiliency planning.The Chief Sustainability Officer (housed in the Mayor's Office) is in the process of rebuilding a core, coordinating, team for environmental and climate work."
Houston,2021,Government capacity,Challenges,Significantly,"There is limited government capacity to fund projects,  materials, and emergency personnel. City government budget cuts have led to many vacant positions being eliminated and forced some departments to continue to operate short-handed. Houston lacks regulatory authority to make changes in electricity market, emissions control, transportation system, and other sectors."
Houston,2021,Political engagement / transparency,Challenges,Significantly,Political engagement/ transparency becomes another conflict when the issue itself becomes politically polarized by party politics. Political involvement withdraws when monetary donations to politicians and government agencies are at risk. Political involvement withdraws often to promote business and political motives nullifying intervention or regulatory changes that can help the cities to mitigate causes. Transparency slows the city’s ability to adapt when FEMA or other government agencies remove informative text and material from their websites that hinder education to citizens.
Houston,2021,Budgetary capacity,Challenges,Significantly,"Budgetary capacity becomes problematic when the importance of adapting the city to climate change is not prioritized.. For three consecutive years the City of Houston has faced budget cuts, approximately $80 million each year, due to the revenue cap, hurricane recovery spending, and COVID-19-related impacts. In 2021, the budget gap reached approximately $200 million, but was filled with federal recovery funds that came just in time. The budget shortfalls that the city has faced has made it difficult to undertake projects requiring capital, even if these projects would improve efficiency and save the city money in the long run. In some cases, lack of budgetary capacity directly prevents the city and region from undertaking necessary adaptation measures. Refineries around the Houston Ship Channel and Galveston Bay produce 40% of the nation's petroleum and half of the country's jet fuel. Storm surges and flooding in this region pose two grave risks: 1) Serious environmental contamination, and 2) huge shortages of petroleum products.  As a result of Hurricane Ike in 2008, 500,000 gallons of crude oil were spilled causing $29 billion in damages. A group of universities and partners have led the planning for the ""Ike Dike,"" a defensive barrier designed to protect this key area. The project would extend an existing sea wall, construct a 17 ft revetment near the beach and add flood gates. Gates and barriers would likely be modelled after those used in the Netherlands' Delta Works project. The project is estimated to cost $15 billion and has been stalled due to lack of funding. This project is necessary to protect public health and national security as a hurricane wiping out oil production ability in the region could cause fuel shortages and greatly impair transportation in the United States."
Houston,2021,Rapid urbanization,Challenges,Significantly,"Rapid urbanization over the years, with the population doubling in the last 50 years along with unsatisfactory infrastructure capacity, building code regulations, and inadequate land use planning has caused streets, channels, river, dikes, drainage ditches, levees, dams and reservoirs to flood or overflow and cause extreme flooding throughout the Houston area. Additionally, rapid development and urbanization has exacerbated the extreme heat and heat wave impacts"
Houston,2021,Environmental conditions,Challenges,Significantly,"Houston's topography and soil type contribute to it being a flood prone region. The area is low lying and has clay-based soil with low permeability. The area has historically relied on natural wetlands and bayous for drainage. However, when severe storms occur these natural protections are unable to handle the inundation of water."
Houston,2021,Infrastructure capacity,Challenges,Significantly,"Storm water infrastructure in Houston poses major difficulties. As Houston is located in a low-lying region with a clay-like soil that naturally has low-permeability, the region's bayous have functioned as the main drainage system, but many neighborhoods must have engineered storm water management systems in place. Aging infrastructure can limit the effectiveness of storm water drains. Additionally, as the frequency and intensity of storms increase, it becomes clear that the engineered capacity of such systems may not have been high enough to face the increased intensity of storms. Limited storm water capacity can lead to flooded streets impairing residents' ability to evacuate in emergency situations. The American Society of Civil Engineers 2017 Report Card gave the State of Texas a C- for infrastructure noting that the state earned a D for flood control and roadways."
Houston,2021,Land use planning,Challenges,Significantly,"The City of Houston is the largest city in the United States to not have zoning laws in an effort to encourage development. Largely unobstructed either by rules or by natural features such as mountains, the Houston area sprawled. Nearly 25,000 acres of natural wetlands were developed between 1992 and 2010, mostly in Harris County. Between 1992 and 2010 alone nearly 30% of wetlands in Harris County were destroyed due to development. The region is low lying and with soil that is mostly clay-based, causing the region to be naturally prone to flooding and drainage problems. The area's bayous have largely functioned as  storm water management and drainage systems. However, development in the area and over wetlands threaten this natural drainage mechanism. As Houston is rapidly expanding-- the population in Houston and the surrounding cities is expected to grow by 66.7% by 2040-- land use planning poses a huge challenge to manage the cities development and drainage needs, and to adapt to changing flood plains."
Phoenix,2021,Economic health,Supports,Moderately,Continued economic growth has allowed the community to invest in green technologies and promote more sustainable business models.
Phoenix,2021,Rapid urbanization,Challenges,Moderately,"As the City of Phoenix increases in population, urban sprawl has increased, increasing demand for resources such as water, energy and transportation."
Phoenix,2021,Resource availability,Challenges,Moderately,Phoenix continues to actively manage its water resources to ensure a one-hundred year water supply.
Phoenix,2021,Environmental conditions,Challenges,Moderately,"Challenges due to extreme weather, like extreme heat events, are met by partnerships with local NGO and other local, state and federal agencies to assist impacted populations."
Philadelphia,2021,Poverty,Challenges,Significantly,"Philadelphia has the highest poverty rate of any large city in the United States, limiting the adaptive capacity of many of our residents."
Philadelphia,2021,Inequality,Challenges,Significantly,"Many of the neighborhoods most impacted by climate stressors like extreme heat and sea level rise are communities of color, which face disproprtionately high rates of unemployment, sub-standard housing, and other environmental justice issues stemming from historic  and existing inequities in our city."
Philadelphia,2021,Political engagement / transparency,Supports,Moderately,"Philadelphia residents broadly (more than 80%) support climate action, and there is political consensus  toward fighting the impacts of climate change locally."
Philadelphia,2021,Community engagement,Supports,Moderately,"Adaptation efforts will require individual and community action, which the Office of Sustainability and community partners have been piloting through our Beat the Heat pilot."
San Antonio,2021,Infrastructure conditions / maintenance,Challenges,Moderately,The combination of flash flooding and extreme heat will rapidly degrade the City's infrastructure and historical assets. Without improvements to the city's infrastructure it will be costly to replace in the upcoming decades.
San Antonio,2021,Rapid urbanization,Challenges,Significantly,The increasing level of sprawl will exacerbate the transportation issues and make it more difficult to transition to alternative modes of transportation.
San Antonio,2021,Poverty,Challenges,Significantly,The level of poverty in San Antonio impacts a family's ability to adapt to extreme heat (e.g. AC costs) and its ability to access city resources.
San Antonio,2021,Resource availability,Challenges,Moderately,"With the combination of a growing population and extreme heat, the lack of water and its increased value will have an impact on San Antonio."
San Antonio,2021,Environmental conditions,Challenges,Significantly,"San Antonio is projected to have 24 additional days of 100 degree weather by 2040. The combination of a growing population and disappearance of green spaces, extreme heat, and potential lack of water, exacerbates the effects of urban heat islands and public health issues."
San Diego,2021,Inequality,Challenges,Significantly,Consequences of climate change disproportionately affect vulnerable populations. Equitable solutions and strategies to coping with climate change are being developed.
San Diego,2021,Political engagement / transparency,Supports,Significantly,All facets of state and local government are committed to address climate change and plan for mitigation and resiliency. Support and direct access to resources from the Federal level have recently increased.
San Diego,2021,Budgetary capacity,Challenges,Significantly,N/A
Austin,2021,Public health,Challenges,Significantly,"Low-income communities of color with limited access to healthcare may face adaptation challenges related to air quality, extreme heat, flooding, and other climate-related public health hazards."
Austin,2021,Poverty,Challenges,Significantly,Individuals living below the poverty level have limited access to adaptation resources.
Austin,2021,Infrastructure conditions / maintenance,Challenges,Significantly,Older stormwater infrastructure has limited capacity to mitigate the effects of severe flooding events.  Electricity and water outages during extreme weather events increase negative impacts during those episodes.
Austin,2021,Resource availability,Challenges,Moderately,"The City's drinking water comes from one source (Highland Lakes - surface water), which makes the City extremely vulnerable to prolonged drought events."
Austin,2021,Rapid urbanization,Challenges,Significantly,"Rapid development, especially in the City periphery, places a greater number of residents at risk of flooding and wildfire hazards. Development in the Wildland-Urban Interface increases the risk of wildfire impacts."
Austin,2021,Housing,Challenges,Significantly,The cost of housing in Austin is currently at an historic high. This will affect the City's efforts to place a growing homeless population into long-term affordable housing and prevent the exodus of Austin's low-income and communities of color.
Dallas,2021,Inequality,Challenges,Moderately,"Inequality (Environmental Equity) limits the ability of the economically challenged to adapt to additional extreme heating days, flooding, with limited access to energy conservation and food supply. The impacts of a changing climate will be felt the most by vulnerable communities, such as the elderly, communities of color, the very young, and the disadvantaged."
Dallas,2021,Infrastructure conditions / maintenance,Challenges,Significantly,Environmental factors will lead to increased stress on existing infrastructure and increase the costs of maintenance and new infrastructure
Dallas,2021,Resource availability,Challenges,Moderately,"As the climate changes, the availability of resources such as water /food will be increasingly stressed.  We have found that the Dallas’ food shed exceeds 2,500 miles – impacts to the transportation infrastructure, as well as agriculture itself, can impact availability and costs for food."
Dallas,2021,Infrastructure capacity,Challenges,Moderately,"As the population of Dallas continues to grow, new demands will be placed on infrastructure, such as roads, grid capacity, natural gas supply and others.  Maintenance and expansion of the infrastructure must be included in climate and sustainability planning."
San José,2021,Infrastructure capacity,Challenges,Somewhat,"Infrastructure for the delivery of health services and for general economic well-being, including health care facilities, water treatment plants, and roads for emergency responders and transportation for health care personnel, can be damaged in climate-related extreme weather events."
San José,2021,Public health,Challenges,Somewhat,Increased burden of disease and injury could test the surge capacity of health care facilities.
San José,2021,Economic health,Challenges,Significantly,"Economic disruption from climate-related hazards (such as the current COVID-19 pandemic) can lead to income loss, income insecurity, food insecurity, housing insecurity, and mental health problems, which in turn may increase substance abuse, suicide and other health problems. All these challenges require City attention and resources, limiting the resources available for climate adaptation."
San José,2021,Housing,Challenges,Significantly,"Continued affordable housing shortages in San Jose and California result in longer commutes for lower- and middle-income working families and increased transportation emissions. Housing shortages can also increase vulnerable populations, such as people experiencing homelessness. Both residents and the City invest substantial resources in housing, reducing the resources available for other needs, such as climate adaptation."
San José,2021,Political stability,Supports,Significantly,The City’s governance structure is stable. The current Mayor and City Council are strong supporters of Climate Smart San Jose. The City partners with other local governments and regional and state agencies to share resources and knowledge .
San José,2021,Rapid urbanization,Supports,Somewhat,"As the Capital of Silicon Valley, the City benefits from the tech sector’s continued growth. This results in a culture of innovation, and increased human capital and strategic partnerships to address climate challenges. For example, Google has received Council approval to develop Downtown West, a transit-oriented community of office buildings, homes, restaurants, shops, public space, and parks on about 80 acres in downtown San Jose."
San José,2021,Inequality,Challenges,Significantly,"The success of the City's climate mitigation and adaptation plans depends on actions by residents as well as by businesses and the City itself. However, many residents are struggling financially and cannot afford to take adaptation actions such as installing battery storage, air conditioning or planting trees."
San José,2021,Community engagement,Supports,Moderately,Community-based organizations in our city are increasingly showing interest and concern about climate change mitigation and adaptation. Their engagement with the City on climate change helps build the political will for the City to take action.
San José,2021,Government capacity,Supports,Significantly,The City budget now includes two permanent positions and three term-limited positions to support the Climate Smart San Jose program and coordinate climate change actions and efforts across the City organization.This work is also supported by climate change research and policy work by regional and state government agencies.
Indianapolis,2021,Infrastructure conditions / maintenance,Challenges,Significantly,"Infrastructure throughout Indianapolis has been underfunded and the conditions pose a challenge for adapting to climate change. The overall operation and maintenance of levees are considered minimally acceptable to acceptable,  many are not maintained with best practices, some may be obsolete, and only 23% are accredited by FEMA.  As for streets, officials estimate it will cost ""$732 million for city streets to be upgraded to fair condition from the current rating of poor. To keep the streets in fair condition — a 4 on a 10-point scale — another $178 million a year would be needed for upkeep, more than double the current annual funding that Indianapolis has available for all roads, bridge and sidewalk projects"" (Indy Star, 2/15/18). The City's storm water management infrastructure also needs significant funding and maintenance."
Indianapolis,2021,Poverty,Challenges,Moderately,"With 20% of our population living in poverty, the number of people facing this challenge is much higher than the national average of 13%. Additionally, approximately 10% of these persons are experiencing extreme poverty, so community resilience is limited."
Indianapolis,2021,Access to healthcare,Supports,Significantly,"Indianapolis is well-known for its health institutions including Riley Children’s Hospital, IU Health, Sidney and Lois Eskenazi Hospital, among others. Many specialized options exist for those seeking treatment for a particular ailment, thus positioning Indianapolis well to handle a potential increase in insect transmitted disease and heat-related disease brought on by increasing average temperatures. This potential is also on the minds of the Marion County Health Department."
Indianapolis,2021,Cost of living,Supports,Moderately,This cost of living in Indianapolis is relatively low compared to urban areas in surrounding states.
Indianapolis,2021,Community engagement,Supports,Moderately,The City of Indianapolis Office of Sustainability has tabled at  many events and completed extensive community outreach related to Thrive Indianapolis to help the city adapt to climate change.
Columbus,2021,Access to basic services,Supports,Significantly,"City residents, businesses and visitors are fortunate that critical city organizations, community institutions generally have been very proactive in addressing climate change issues.For example, American Electric Power Ohio and Columbia Gas of Ohio have taken steps to prepare for climate change by taking measures to implement grid resilience (electric) and repair old infrastructure (gas lines). The U.S Environmental Protection Agency (EPA) recognized AEP Ohio and Columbia Gas of Ohio with a 2016 ENERGY STAR Partner of the Year—Sustained Excellence Award and a Market Leader Award for continued leadership in protecting the environment through superior energy efficiency. The utilities collaborate to encourage energy efficiency within the home, including building more than 10,100 EfficiencyCrafted homes that have reduced carbon emissions equal to that sequestered by more than 625,500 acres of trees for one year according to the EPA. https://www.aepohio.com/info/news/viewRelease.aspx?releaseID=1970The City of Columbus Department of Public Utilities (DPU) realizes that the effects of climate change will likely lead to an increase in the demand for basic services. To support the city’s adaptation efforts, Columbus DPU is taking steps to repair and replace old power, water, and sewerage and drainage infrastructure, as well as installing new infrastructure.In the past two years (2019-2020, the Division of Power, which is a unit of DPU has repaired more than 229,000 feet of wire and cable and installed/removed a total of 16,351 transformer KVA. Additionally, at least 4,350 luminaries and nearly 19,345 lamps have been repaired and more than 1,200 total wooden and standard poles have been replaced since 2018, according to the 2020 Columbus Department of Public Utilities annual report.In the past three years, the Division of Water, also a part of DPU, has made 6,045 repairs of water infrastructure, according to the department’s annual report. Division of Water is currently updating its Master Plan which will include information on the timeline of the development of the 4th water plant for the city, recognizing that planning for additional water supply is critical as the impacts of climate change increase."
Columbus,2021,Access to healthcare,Supports,Significantly,"The Columbus Health Literacy Committee was assembled by the Columbus Public Health Department to help Columbus residents gain easy access to healthcare and is composed of various healthcare and health insurance organizations from around Central Ohio. The group meets once a month to work towards its’ mission to “raise awareness about the impacts of health literacy on residents, providers, and organizations, and create easy-to-understand information to help individuals navigate their health care options.”  In addition, the City of Columbus has started the Celebrate One initiative to put in place recommendations from the Greater Columbus Infant Mortality Task Force to reduce the community’s alarming infant mortality rate by 40 %  and cut the racial health disparity gap in half by 2020."
Columbus,2021,Access to education,Supports,Significantly,"Columbus has the 3rd lowest dropout rate for high school attendance, is in the middle tier of metros with a population with either a bachelor’s or graduate degree, and ranks 4th in school lunch assistance"
Columbus,2021,Cost of living,Supports,Significantly,The overall cost of living in the Columbus Region is on average 10% more affordable than the national average and lower than the State of Ohio despite rapid growth.
Columbus,2021,Housing,Challenges,Significantly,"The Affordable Housing Alliance of Central Ohio Report lists access to affordable housing as a challenge of the central Ohio Region.   To address this challenge, MORPC, the City of Columbus, and other regional partners are coordinating a housing strategy for Central Ohio.  https://www.morpc.org/program-service/regional-housing-strategy/The Columbus Metropolitan Housing Authority also helps people access affordable housing by working with partners to develop, renovate, and maintain housing, promote neighborhood revitalization, and assist residents in accessing needed social services. CMHA Goals for FY 2016-2021: (1) Continue to increase the availability of decent, safe, and affordable housing; (2) Promote self-sufficiency and asset development of families and individuals; (3) Improve community quality of life and economic vitality; and (4) Ensure Equal Opportunity and Affirmatively further Fair Housing. CMHA will endeavor to realize the goals of the 2016 5-Year Plan through the execution of the Choice Neighborhood Implementation Grant which focuses on the revitalization of the Near East Side of Columbus, converting Public Housing through the Rental Assistance Demonstration Program, utilizing the PBV allocation to support development and the continuation of the provision of high quality program administration. In January 2016, CMHA opened Poindexter Place - a104 unit elderly development with 34 Public Housing and 70 Project Based Voucher units. Construction has begun on Poindexter Phase II – 87 affordable units with 35 PBV, 21 LIHTC and 31 market rate units. CMHA was recently awarded tax credit funding for Poindexter Phases III and IV."
Columbus,2021,Poverty,Challenges,Significantly,"According to 2019 statistics from the U.S. Census Bureau, the poverty rate in Columbus, Ohio is 20.4 percent.The City has identified several low-income neighborhoods where energy poverty is a significant issue i.e. residents in these neighborhoods pay an unaffordable amount of their income (6-11%) on utility bills. In city partnership with utility companies AEP Ohio and Columbia Gas, the Community Energy Savers (CES) program was created to assist those opportunity neighborhoods in realizing the cost-saving benefits of energy efficiency in their homes. Through this program, home energy audits and weatherization upgrades are offered for free or reduced cost to residents. If each of the opportunity neighborhoods hits their goal AEP Ohio and Columbia Gas will grant them money to upgrade a community asset; ex. Water heaters in schools. Reducing the amount of income spent on utility bills and wasted energy helps to alleviate poverty in Columbus.  http://communityenergysavers.com/"
Columbus,2021,Inequality,Challenges,Significantly,"In 2015, Columbus had an income gap ratio of 18.3, with the top 1% of earners making an average of $989,323 and the bottom 99% of earners making an average of $54,097. This places Columbus at 255 of 916 for cities with the greatest income disparity. Economic inequality between city neighborhoods is a significant challenge in Columbus, and one often intersects with race. In our poorest neighborhoods crime is concentrated and access to jobs and transportation is lacking. Areas like Linden, Hilltop, and the South Side also suffer from high infant mortality rates. Additionally, African-American residents in these neighborhoods are far less likely to own cars and spend a large amount of valuable time commuting to work.Areas like Linden, Hilltop, and the South Side also suffer from high infant mortality rates. Additionally, African-American residents in these neighborhoods are far less likely to own cars and spend a large amount of valuable time commuting to work. The Smart Columbus initiative aims to address this inequality and improve access to opportunity by bringing innovative transportation solutions to the neighborhoods that need it most. The initiative, supported by a $50 million grant from the U.S. Department of Transportation, will enhance human services with projects like: Prenatal Trip Assistance, Mobility Assistance for people with Cognitive Disabilities, and a Multimodal Trip Planning App with a Common Payment System. The Community Energy Savers program is also operating within these neighborhoods to reduce the burden that energy costs pose to low-income households. Efforts to reduce the racial and economic disparities between city neighborhoods with help us to overcome this challenge and better adapt to a changing climate. http://communityenergysavers.com/https://www.smartcolumbusos.com/about/about-smart-columbus"
Columbus,2021,Unemployment,Supports,Somewhat,"Like many areas, the unemployment rate increased in 2020 due to covid. Columbus averaged 7% unemployment rate in 2020. However the last three months of 2020 saw the unemployment rate hover around 4%.  https://data.bls.gov/pdq/SurveyOutputServlet"
Columbus,2021,Public health,Challenges,Moderately,"Columbus has high infant mortality rates, high levels of adult obesity (30.6% of population haves a BMI of 30 or greater), but ranks 9th in access to local foods, and is in the middle tier for percentage of adults diagnosed with asthma.The CelebrateOne program monitors data on Franklin County birth rates, infant mortality, and other key indicators to track progress towards ensuring that all babies—regardless of race, zip code or family income—celebrate their first birthdays.The CelebrateOne “Social Determinates of Health Data Brief” identifies vulnerable population and priority areas within Columbus to improve overall health. Priority areas include: Linden (43211), Northeast (43219), Northland (43224, 43229), Hilltop (43204), Franklinton (43222, 43223), Near East (43203, 43205), South Side (43206, 43207), and Southeast (43227, 43232). Identifying areas of improvement and working towards progress in these neighborhoods will help the entire community adapt to the changing climate.https://www.columbus.gov/Celebrate-One/Infant-Mortality-Data/."
Columbus,2021,Political stability,Challenges,Significantly,"Columbus has a stable political environment.   The state and national political environment, however, does create challenges.  At the state level, the passage of HB 6 in 2019 which eliminated IOU energy efficiency program funding and rollbacked the state's renewable energy portfolio standards has caused significant instability in these markets and threatens Columbus' ability to meet its long term climate goals.  At the federal level, as of May 20, 2020, there are at least 100 environmental rules and regulations that are being rolled back under the Trump administration, according to a story in the New York Times.  It has been suggested that if all the rollbacks go into effect, greenhouse gas emissions could increase significantly resulting in poorer air quality and thousands of increased deaths. SInce President Biden was elected the environmental roll backs have stopped at the federal level."
Columbus,2021,Political engagement / transparency,Supports,Moderately,"Mayor Ginther and the Columbus City Council are committed to taking action to adapt to the evitable impacts of climate change and mitigation green house gas emissions.  In 2019, under Mayor Ginther's leadership the City has legislated for a Renewable Energy Owner's Representative to explore renewable procurement options to serve the City's electricity load and legislated to update the City's Climate Action to include GHG reduction goals beyond December 2020. Columbus' Sustainable Columbus 2030 plan has a vision of 100% renewable energy provided by community aggreagation by 2022, carbon neutral by 2050, and prosperous neighborhoods with green space, clean air, and safe drinking water.  The State of Ohio has robust public records laws that require city governments to operate in a transparent manner.  The City of Columbus goes above and beyond these laws by actively engaging stakeholders in City government processes.  Columbus is nationally known for its stakeholder engagement.  We believe in shared leadership, which means that we not only seek input from a broad range of stakeholders when we make decisions, but we also involve them in the very earliest stages of planning and have them work with us to make programs successful.  We have two very active sustainability advisory boards, the Sustainable Columbus Advisory Board and GreenSpot Advisory Board.  When we developed our Green Community Plan, stakeholders form 34 different organizations contributed.  We continued this tradition when we partnered with The Ohio State University to develop a Climate Adaptation Plan and engaged over 89 stakeholders from a variety of organizations.  To develop the City’s next Climate Action Plan, the city has engaged with stakeholders from throughout the community as well as the public in a virtual setting even as engagement was complicated by the impact of the COVID-19 worldwide pandemic."
Columbus,2021,Government capacity,Supports,Moderately,"City of Columbus provides critical services to its residents.   In 2020, it treated 70 billion gallons of waste water, provided 35,000 immunizations and collected trash for 340,000 households, and owned 402 parks for its residents to enjoy."
Columbus,2021,Budgetary capacity,Supports,Somewhat,"The City of Columbus has a well-rounded operating fund budget.  In 2020 the total operating budget was $1.96 billion (all funds), with $965 million in the general fund, according to city budget documents.  The City's reliance on the income tax as a source of operating budget does result in vulnerabilities in the event of economic downturns, however,  Columbus has a rainy day fund that with a goal level of 75M, which has been achieved."
Columbus,2021,Migration,Challenges,Significantly,"The Mid-Ohio Regional Planning Commission (MORPC) predicts that 1 million additional people will live in the Central Ohio/Columbus region by 2050. Population growth exposes more people to the risks involved with climate change. This will make climate adaptation more difficult, as additional resources will need to be allocated to provide aid during extreme weather events.  Increases in temperature and changing precipitation patterns could negatively affect agricultural production and increase the prices of food in the US. As the population increases, a greater number of Columbus residents will be at risk of hunger and place strain on the adaptive capacity of the city to assist those in need."
Columbus,2021,Safety and security,Challenges,Significantly,"Columbus Community Safety Advisory Commission was created in November 2017 by Mayor Andrew J. Ginther to address safety concerns involving police misconduct in Columbus’s low-income neighborhoods. This Commission is focused on areas such as de-escalation, crisis intervention, and implicit bias training; use of force policies; diversity recruitment and retention; and early intervention and officer wellness programs.https://www.columbus.gov/safetycommission/.  City-wide safety is addressed in both state and city emergency management plans. Under the Extreme Heat Plan, Franklin County Emergency Management and Homeland Security (FCEM & HS) will coordinate information flow between various agencies, community partners, and the general public during an extreme heat emergency. The same agency has developed Emergency Support Function 1 (ESF1), which is responsible for management of transportation systems and management of transportation infrastructure during threats or in response to flooding.At the state level, the Ohio Emergency Management Agency operates to ensure safety during an emergency event. One example of their work is the Drought Assessment Committee and Impact Task Force which appropriately matches state response to the severity of a drought. Under this plan “local jurisdictions may enact ordinances to assure equitable water distribution and may establish local drought emergency public information and education programs.” Emergency management activities during a regional drought emergency would be coordinated between Franklin County Emergency Management and Homeland Security and leadership of the City of Columbus, including the Department of Public Utilities, Division of Water."
Columbus,2021,Economic health,Supports,Moderately,"Columbus ranks No. 1 for its affordability and access to job opportunities. The Columbus economy is balanced with a combination of education, technology, government, research, insurance and health care entities as major employers within the City. Columbus is gaining nationwide recognition for its booming downtown, historic neighborhoods, arts and sporting districts, open attitude and a noticeably affordable quality of life.Major employers include: The Ohio State University, Limited Brands, Inc., and Nationwide Insurance.The Smart City Challenge $50 million grant to explore, demonstrate, and test technologies and infrastructure of the future was grown to $500 million with additional public and private funding. These partnerships will be the key to future economic development in the city. The innovative nature of our programs makes Columbus, America’s Opportunity City. The Smart City initiative proves that cities don’t have to choose between economic growth and combatting climate change. Investing in these technologies now will help Columbus’s economy grow and improve our adaptive capacity."
Columbus,2021,Economic diversity,Supports,Significantly,"Columbus has a well-rounded employment industry. The largest employment sectors are Professional & Business Services, Government, Education & Health, and Retail Trade. Each industry will be affected by climate change in a different way. A diverse economy means that climate risk will be spread out and the city as a whole will be less vulnerable. https://www.columbus.gov/development/economic-development/Employment-By-Sector/"
